"rowname","Spirit Airlines, Inc.","American Airlines","Alaska Airlines","Jetblue Airways Corporation","Delta Air Lines, Inc.","Frontier Airlines, Inc.","Allegiant Air LLC","United Airlines, Inc.","Southwest Airlines","Hawaiian Airlines Inc."
"Spirit Airlines, Inc.",1,0.774628549,0.23315372,0.420620885,0.502030052,0.511976915,0.68367464,1,0.380436329,1
"American Airlines",1.290941319,1,0.300987771,0.54299688,0.648091337,0.660932153,1,1.237049758,0.491120976,1
"Alaska Airlines",4.289015846,3.32239412,1,1.80404964,2.153214849,2.195877099,2.932291364,4.109966844,1.631697442,7.178105547
"Jetblue Airways Corporation",2.377437822,1.841631209,0.554308472,1,1.193545233,1.21719328,1.625393947,2.278189443,1,3.97888472
"Delta Air Lines, Inc.",1.991912627,1.542992388,0.464421839,0.837840052,1,1,1,1.90875836,0.757795927,3.33366898
"Frontier Airlines, Inc.",1.953213068,1.513014604,0.455398893,0.821562209,1,1,1,1.87167435,0.743073209,3.268901319
"Allegiant Air LLC",1.462684063,1,0.341030231,0.615235465,1,1,1,1,0.556458155,1
"United Airlines, Inc.",1,0.80837492,0.243310965,0.438945059,0.523900783,0.534280977,1,1,0.39700988,1
"Southwest Airlines",2.628560747,2.036158196,0.612858717,1,1.319616489,1.345762421,1.797080322,2.518829005,1,4.399164553
"Hawaiian Airlines Inc.",1,1,0.139312524,0.251326708,0.299969795,0.305913181,1,1,0.227315889,1
